Naslov;Avtor;Ocena;Stevilo strani;Leto;Opis
Um casamento arranjado;by Zana Kheiron;4,14;160;2019;Uma historia de uma familia falida q faz acordo com outra familia rica e sua filha mais velha e cedida em troca. O filho da família rica teve um acidente de avião que queimou 50% do seu corpo e casa c essa linda moca e se apaixonam
Atomic Habits;by James Clear and Àlex Guàrdia Berdiell;4,25;320;2018;No matter your goals, Atomic Habits offers a proven framework for improving every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.
Control Your Mind and Master Your Feelings;by Eric Robertson - undifferentiated;3,59;231;2019;This edition doesn't have a description yet. Can you add one?
The 48 laws of power;by Robert Greene, Joost Elffers, William Richmond, Talita M. Rodrigues, Harper Price, and Joost Ellfers;4,21;not given;1998;Amoral, cunning, ruthless, and instructive, this multi-million-copy New York Times bestseller is the definitive manual for anyone interested in gaining, observing, or defending against ultimate control – from the author of The Laws of Human Nature.
Rich dad, poor dad;by Robert T. Kiyosaki, Sharon L. Lechter, and Tim Wheeler;4,11;207;1998;Argues that a good education and a secure job are not guarantees for financial success, and describes six guidelines for making money work for oneself.
It Ends With Us;by Colleen Hoover;4,30;384;2016;Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life seems too good to be true.
Red, White & Royal Blue;by Casey McQuiston and Ramon De Ocampo;4,12;421;2019;What happens when America's First Son falls in love with the Prince of Wales?
Twisted 1. Twisted love;by Ana Huang;4,13;384;2022;Ava Chen is a free spirit trapped by nightmares of a childhood she can't remember. But despite her broken past, she's never stopped seeing the beauty in the world... including the heart beneath the icy exterior of a man she shouldn't want. Her brother's best friend.
A Court of Mist and Fury;by Sarah J. Maas;3,94;624;2016;Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.
It Starts With Us;by Colleen Hoover;4,04;352;2022;Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the “glorious and touching” (USA TODAY) #1 New York Times bestseller It Ends with Us.
The Psychology of Money;by Morgan Housel;4,09;256;2020;Read This Book For Free Now👉 https://t.co/NYg83FnWrs
The Subtle Art of Not Giving a Fuck;by Mark Manson;4,11;256;2019;Read This Book ➸ https://strangerthings.fandom.com/wiki/Amazon_Books_Free   This breakout, mega bestseller is the self-help book for people who hate self-help. It’s as much a pat on the back as a slap in the face. It’s the first truly no BS guide to flourishing in a crazy, crazy world—a truly counterintuitive approach to living a good life.
Harry Potter and the Sorcerer's Stone;by J. K. Rowling;4,27;223;1998;Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches
Think and grow rich;by Napoleon Hill;4,13;254;1960;THE WORKBOOK UNLOCKS THE SECRETS HIDDEN BETWEEN THE LINES    Napoleon Hill was quoted as saying, “You can’t really get Think and Grow Rich by reading it just once. There is just as much written between the lines as there is written in the lines themselves.” Now Think and Grow Rich: The 21st-Century Edition Workbook will show you how to get the most out of Hill’s classic success book the very first time you read it. This workbook is designed to guide you through Think and Grow Rich and explain it so clearly that when you come to the last page you will know the book better than most devoted students who have read it many times over.    KEYED TO THE FORMAT OF THE BOOK    Following the format of Think and Grow Rich, this work- book breaks down each of Napoleon Hill’s principles, fills in the background, takes you step-by-step through his arguments, and explains how and why Hill arrived at his theories. In addition to a detailed overview of Think and Grow Rich, this workbook also features: chapter outlines, updated examples, new research breakdowns and summaries of all key concepts action guides and self-tests    YOUR OWN PRIVATE TUTOR    It’s like having your own personal instructor leading you through the book, explaining how to read each chapter so that you see clearly, learn quickly, and understand completely. The result is an extremely practical program created specifically to make Think and Grow Rich the most important book you have ever read.
Le trône de fer;by George R. R. Martin;4,25;not given;2011;Le royaume des sept couronnes est sur le point de connaître son plus terrible hiver : par-delà le mur qui garde sa frontière nord, une armée de ténèbres se lève, menaçant de tout détruire sur son passage. Mais il en faut plus pour refroidir les ardeurs des rois, des reines, des chevaliers et des renégats qui se disputent le trône de fer. Tous les coups sont permis, et seuls les plus forts, ou les plus retors, s'en sortiront indemnes...
Haunting Adeline;by H. D. Carlton;3,66;592;2023;The Manipulator
Twisted Lies;by Ana Huang;3,66;not given;2022;This edition doesn't have a description yet. Can you add one?
Married at first sight;by Gu Lingfei;4,86;not given;2022;Romance
The seven habits of highly effective people;by Stephen R. Covey and Sean Covey;4,00;340;1989;Read This Book Pdf Epub Free ➸ https://strangerthings.fandom.com/wiki/Amazon_Books_Free
The cruel prince;by Holly Black and Caitlin Kelly;3,97;750;2018;Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him, and face the consequences.
The Intelligent Investor;"by Graham, Benjamin;Zweig, Jason";4,43;not given;2003;This edition doesn't have a description yet. Can you add one?
Shatter me;by Tahereh Mafi;4,06;not given;2011;Ostracized or incarcerated her whole life, seventeen-year-old Juliette is freed on the condition that she use her horrific abilities in support of The Reestablishment, a post-apocalyptic dictatorship, but Adam, the only person ever to show her affection, offers hope of a better future.
A brief history of time;by Stephen Hawking;4,10;198;1988;Stephen Hawking's A Brief History of Time has become an international publishing phenomenon. Translated into thirty languages, it has sold over ten million copies worldwide and lives on as a science book that continues to captivate and inspire new readers each year. When it was first published in 1988 the ideas discussed in it were at the cutting edge of what was then known about the universe. In the intervening twenty years there have been extraordinary advances in the technology of observing both the micro- and macro-cosmic world. Indeed, during that time cosmology and the theoretical sciences have entered a new golden age . Professor Hawking is one of the major scientists and thinkers to have contributed to this renaissance.
Where the Red Fern Grows;by Wilson Rawls;4,26;212;1961;More than anything else in life, Billy Colman wanted a dog. When at the age of ten he saw an ad for two coon-hound pups, he resolved to its their purchase price of $50. Two years later, having scrimped and saved, he attained his goal—the dogs were his, and he named them Old Dan and Little Ann.
Harry Potter a Tajemná komnata;by J. K. Rowling;4,17;287;2000;Harry Potter #2
The Summer I Turned Pretty;by Jenny Han;4,44;not given;2014;Belly has always lived for the summertime, because summer means all her favorite things: swimming, the beach, and the Fischer boys, Conrad and Jeremiah. For as long as she can remember, she's shared her summers with the brothers at Cousins Beach. And for as long as she can remember, she's been in love with Conrad. Then one summer it seems like he might have feelings for her too -- but so does Jeremiah. As the summer seasons pass, Belly has to choose between two brothers who love her ... and she'll have to break one of their hearts.
The Love Hypothesis;by Ali Hazelwood;4,16;325;2022;Read This Book ➸ https://strangerthings.fandom.com/wiki/Amazon_Books_Free
The Wrong Bride;by Catharina Maura;3,65;380;2022;She’s his fiancée’s younger sister. He’s the man she’s always loved.
Icebreaker;by Hannah Grace;4,24;448;2022;A TikTok sensation! Sparks fly when a competitive figure skater and hockey team captain are forced to share a rink.
HABITOS ATOMICOS;by SUSAN ORLEAN;4,00;326;2019;sfdsf
Hali Bote yu si wang sheng qi;by J. K. Rowling;4,28;574;2007;Harry Potter #7
Latidos Que No Dije;by Roos;4,36;not given;2022;"""Latidos que no dije"" es una novela que sigue la vida de Leire, una joven que atraviesa un momento difícil después de romper con su novio. Decidida a empezar de nuevo, se muda a Madrid en busca de una nueva vida y oportunidades para redescubrirse a sí misma."
It;by Stephen King;4,14;1138;6 11;From the Flap:
Ugly Love;by Colleen Hoover;4,15;352;2014;ATTRACTION AT FIRST SIGHT CAN BE MESSY… When Tate Collins finds airline pilot Miles Archer passed out in front of her apartment door, it is definitely not love at first sight. They wouldn’t even go so far as to consider themselves friends. But what they do have is an undeniable mutual attraction. He doesn’t want love and she doesn’t have time for a relationship, but their chemistry cannot be ignored. Once their desires are out in the open, they realize they have the perfect set-up, as long as Tate can stick to two rules: Never ask about the past and don’t expect a future. Tate is determined that she can handle it, but when she realises that she can’t, will she be able to say no to her sexy pilot when he lives just next door?
Twisted 2. Twisted Games;by Ana Huang and Julia V. Sánchez;4,54;480;2023;This edition doesn't have a description yet. Can you add one?
I Fell in Love with Hope;by Lancali;4,47;416;2023;Against the unforgiving landscape of a hospital, I fell in love with a mischievous, sun-eyed boy who became my only joy in that desolate place. That’s what made it all the more soul-crushing when he committed suicide in front of me.
Can’t Hurt Me;by David Goggins;4,57;not given;2018;This edition doesn't have a description yet. Can you add one?
Deep Work;by Cal Newport;3,94;295;2016;One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results.
How to win friends and influence people;by Dale Carnegie and Simon and Schuster Staff;4,00;337;1958;This edition doesn't have a description yet. Can you add one?
The Summer I Turned Pretty;by Jenny Han;4,43;304;2009;Belly’s never been the kind of girl that things happen to. Year after year, she’s spent her summers at the beach house with Conrad and Jeremiah. The boys never noticed Belly noticing them. And every summer she hoped it would be different. This time, it was. But the summer Belly turned pretty was the summer that changed everything. For better, and for worse.
